lon,lat,dominant,total,n_red_kangaroo,n_eastern_grey_kangaroo,n_koala,n_emu,n_platypus
142.25,-34.75,emu,3817,345,14,1,3455,2
141.75,-34.25,emu,345,77,14,0,253,1
141.25,-34.25,emu,689,147,8,0,532,2
141.25,-35.25,emu,133,1,0,0,132,0
142.25,-35.25,emu,275,2,0,0,273,0
143.75,-35.75,emu,76,2,17,3,50,4
142.25,-34.25,red_kangaroo,813,578,74,10,145,6
141.75,-35.25,emu,471,17,1,0,453,0
141.75,-34.75,emu,253,11,7,0,235,0
142.75,-34.75,emu,294,9,25,0,258,2
141.25,-34.75,emu,186,3,0,0,183,0
142.75,-34.25,red_kangaroo,7209,5928,41,0,1240,0
143.25,-34.75,emu,199,8,25,0,161,5
140.75,-34.25,emu,483,87,18,42,334,2
142.25,-35.75,emu,787,6,5,0,776,0
143.25,-35.25,eastern_grey_kangaroo,34,1,15,1,14,3
131.25,-21.75,red_kangaroo,52,52,0,0,0,0
131.25,-22.25,red_kangaroo,56,53,0,0,3,0
131.75,-22.25,red_kangaroo,35,33,0,0,2,0
132.75,-23.25,red_kangaroo,81,66,0,0,15,0
138.75,-23.25,red_kangaroo,29,23,0,0,6,0
144.75,-24.75,red_kangaroo,260,154,47,7,52,0
141.25,-24.25,emu,19,5,0,0,14,0
145.75,-20.25,emu,23,1,9,0,13,0
143.25,-24.25,emu,75,6,11,2,56,0
140.75,-23.75,emu,56,15,0,0,41,0
144.25,-28.75,emu,449,133,33,0,283,0
141.75,-27.25,red_kangaroo,12,7,0,0,5,0
145.25,-24.75,red_kangaroo,63,27,25,5,6,0
143.25,-22.75,emu,269,59,5,0,205,0
144.75,-26.75,emu,25,6,4,0,15,0
141.75,-21.25,emu,17,2,1,0,14,0
140.75,-24.25,emu,66,4,0,0,62,0
143.25,-25.25,emu,335,28,5,0,302,0
146.75,-26.75,eastern_grey_kangaroo,24,6,12,0,6,0
145.75,-26.75,emu,18,1,7,0,10,0
141.25,-23.75,emu,190,80,2,0,108,0
145.25,-27.75,emu,51,21,3,0,27,0
145.25,-25.25,red_kangaroo,55,20,17,8,10,0
140.25,-20.25,red_kangaroo,10,5,0,0,5,0
141.25,-28.75,emu,27,6,0,0,21,0
147.75,-25.25,koala,37,1,6,17,12,1
145.25,-26.25,emu,26,3,1,3,19,0
141.75,-20.75,emu,43,12,7,0,24,0
138.75,-18.75,emu,44,11,1,0,32,0
139.75,-22.75,emu,75,12,0,0,63,0
147.75,-26.25,emu,108,6,15,13,74,0
144.25,-26.75,emu,183,3,2,0,178,0
144.25,-20.25,emu,30,4,8,1,17,0
146.75,-24.75,emu,14,1,1,3,9,0
142.75,-18.25,emu,12,3,1,0,8,0
143.75,-21.25,emu,46,5,0,0,41,0
142.75,-22.75,emu,169,18,2,0,149,0
141.25,-25.75,emu,19,2,0,0,17,0
140.75,-23.25,emu,13,3,0,0,10,0
147.25,-26.75,eastern_grey_kangaroo,25,2,11,5,7,0
146.75,-21.75,eastern_grey_kangaroo,63,11,24,12,16,0
145.75,-19.25,emu,43,1,10,1,29,2
145.25,-22.25,emu,45,7,7,6,25,0
141.25,-20.25,emu,19,5,1,0,13,0
148.75,-27.75,emu,78,4,23,2,49,0
139.25,-20.75,emu,12,3,0,0,9,0
142.25,-22.25,emu,24,3,0,0,21,0
146.75,-20.75,emu,32,2,10,0,20,0
141.75,-25.25,emu,28,3,1,0,24,0
140.25,-19.75,red_kangaroo,16,9,0,0,7,0
145.75,-28.25,emu,1064,252,46,1,765,0
144.75,-28.75,emu,117,6,1,0,110,0
144.25,-18.25,emu,79,1,3,4,71,0
148.25,-21.75,koala,56,1,13,21,21,0
144.25,-28.25,emu,296,19,4,0,273,0
145.25,-26.75,emu,31,3,4,1,23,0
149.75,-28.25,eastern_grey_kangaroo,176,2,132,4,38,0
145.75,-20.75,eastern_grey_kangaroo,27,9,10,5,3,0
145.75,-28.75,emu,118,4,2,0,112,0
146.75,-22.25,eastern_grey_kangaroo,47,4,29,4,10,0
147.25,-22.25,emu,36,2,1,1,32,0
144.75,-23.75,emu,63,2,4,3,54,0
140.25,-19.25,emu,29,5,0,0,24,0
138.25,-25.25,red_kangaroo,10,5,0,0,5,0
143.25,-20.75,emu,36,12,3,0,21,0
144.25,-23.75,emu,24,1,1,2,20,0
141.25,-20.75,emu,11,4,0,0,7,0
146.25,-20.25,emu,17,1,4,2,9,1
145.75,-26.25,emu,17,2,1,2,12,0
142.25,-25.25,emu,32,1,0,0,31,0
147.75,-23.25,emu,56,1,8,13,34,0
147.75,-22.25,koala,34,1,4,24,5,0
145.75,-27.75,emu,5239,326,46,0,4867,0
147.75,-27.75,emu,105,4,4,3,94,0
144.25,-23.25,emu,327,4,19,1,303,0
144.75,-20.25,emu,10,3,0,1,6,0
144.25,-19.75,eastern_grey_kangaroo,96,2,67,3,24,0
146.25,-21.25,emu,10,2,1,0,7,0
143.25,-21.75,emu,19,3,0,0,16,0
148.25,-26.75,emu,55,1,10,3,41,0
146.25,-26.25,emu,96,2,15,6,73,0
141.25,-23.25,emu,15,7,0,0,8,0
150.25,-26.75,emu,163,1,37,15,109,1
143.25,-22.25,emu,195,11,3,0,181,0
148.75,-27.25,emu,20,2,6,2,10,0
144.25,-25.75,emu,13,4,2,1,6,0
146.25,-23.25,emu,50,7,13,2,28,0
147.25,-26.25,emu,126,8,8,7,103,0
144.25,-19.25,eastern_grey_kangaroo,97,4,56,1,36,0
140.25,-27.25,emu,56,17,0,0,39,0
142.25,-20.75,emu,12,1,1,0,10,0
145.25,-24.25,emu,69,5,4,10,50,0
143.75,-26.75,emu,67,2,1,0,64,0
146.25,-23.75,emu,22,2,7,4,9,0
149.75,-27.75,emu,78,1,18,20,39,0
145.75,-22.25,emu,24,1,1,1,21,0
149.75,-26.75,eastern_grey_kangaroo,58,1,33,13,11,0
139.75,-20.75,emu,29,4,0,0,25,0
140.75,-25.75,emu,24,2,0,0,22,0
146.75,-28.25,emu,22,1,1,1,19,0
147.25,-23.25,koala,19,2,4,12,1,0
148.25,-27.75,emu,71,1,5,2,63,0
147.25,-27.75,emu,90,4,32,9,45,0
139.25,-24.25,emu,19,1,0,0,18,0
140.75,-20.75,emu,26,4,0,0,22,0
144.25,-20.75,emu,47,6,6,1,34,0
142.25,-21.75,emu,19,3,0,0,16,0
147.75,-21.25,eastern_grey_kangaroo,21,1,12,0,8,0
150.75,-28.25,emu,81,1,21,1,58,0
142.75,-27.75,emu,17,6,1,0,10,0
143.25,-18.75,emu,32,1,1,3,27,0
147.25,-28.25,emu,76,1,2,11,62,0
144.25,-21.25,emu,26,1,0,2,23,0
144.75,-18.25,emu,231,1,105,7,118,0
147.25,-22.75,eastern_grey_kangaroo,14,2,4,4,4,0
144.75,-27.75,emu,65,1,0,0,64,0
147.25,-28.75,emu,37,1,1,0,35,0
146.25,-22.75,koala,24,3,7,10,4,0
145.25,-20.25,eastern_grey_kangaroo,20,1,11,0,8,0
146.25,-27.75,emu,80,2,1,0,77,0
144.75,-25.75,emu,16,2,0,2,12,0
147.75,-27.25,eastern_grey_kangaroo,21,1,17,2,1,0
148.75,-28.75,emu,79,1,5,2,71,0
143.25,-26.75,emu,45,3,0,0,42,0
145.75,-23.75,emu,24,1,1,8,14,0
140.25,-24.25,emu,33,6,0,0,27,0
141.25,-22.75,emu,11,1,0,0,10,0
138.75,-19.75,emu,16,3,0,0,13,0
143.75,-18.25,emu,36,3,1,2,30,0
149.25,-27.25,emu,85,1,22,3,59,0
144.25,-24.75,emu,28,2,2,0,24,0
138.25,-23.75,emu,23,4,0,0,19,0
138.25,-23.25,emu,17,5,0,0,12,0
142.75,-25.25,emu,44,3,2,0,39,0
146.25,-25.75,emu,12,1,2,0,9,0
146.25,-24.75,emu,99,1,6,6,86,0
139.75,-34.25,emu,389,82,7,0,300,0
138.75,-31.25,red_kangaroo,8840,5015,1,0,3824,0
113.75,-22.75,emu,21,2,0,0,19,0
137.75,-29.25,emu,63,28,0,0,35,0
139.25,-30.75,red_kangaroo,2957,2028,0,0,929,0
142.25,-29.25,emu,657,71,3,0,583,0
143.25,-33.75,emu,626,37,0,0,589,0
141.75,-23.25,emu,40,1,0,0,39,0
137.75,-32.25,red_kangaroo,812,440,1,0,371,0
145.75,-30.75,emu,598,33,12,0,553,0
137.75,-32.75,emu,534,178,0,0,356,0
140.25,-34.25,emu,220,47,11,0,161,1
136.75,-30.25,red_kangaroo,343,267,0,0,76,0
142.25,-23.25,emu,60,3,0,0,57,0
141.25,-29.25,emu,301,50,2,0,249,0
141.75,-29.75,emu,88,10,0,0,78,0
136.25,-32.25,emu,678,274,0,0,404,0
