species,common_name,lat,lon,year,state_code
red_kangaroo,Red Kangaroo,-28.8801,134.35,1991,SA
red_kangaroo,Red Kangaroo,-31.6301,140.41,1987,SA
red_kangaroo,Red Kangaroo,-29.0592,130.2961,2002,SA
red_kangaroo,Red Kangaroo,-32.0019,140.1936,2021,SA
red_kangaroo,Red Kangaroo,-31.8801,135.28,1997,SA
red_kangaroo,Red Kangaroo,-32.375,139.7429,2011,SA
red_kangaroo,Red Kangaroo,-29.6301,138.3,1979,SA
red_kangaroo,Red Kangaroo,-31.6301,138.98,1985,SA
red_kangaroo,Red Kangaroo,-32.1164,139.9174,2020,SA
red_kangaroo,Red Kangaroo,-34.1643,142.5625,2022,NSW
red_kangaroo,Red Kangaroo,-30.6301,136.52,1999,SA
red_kangaroo,Red Kangaroo,-30.625,135.0645,2018,SA
red_kangaroo,Red Kangaroo,-32.8801,139.59,1998,SA
red_kangaroo,Red Kangaroo,-31.3801,139.5,2003,SA
red_kangaroo,Red Kangaroo,-32.625,140.7981,2018,SA
red_kangaroo,Red Kangaroo,-20.7652,134.3679,1987,NT
red_kangaroo,Red Kangaroo,-31.2799,138.7809,2023,SA
red_kangaroo,Red Kangaroo,-34.2255,142.6817,2017,NSW
red_kangaroo,Red Kangaroo,-29.875,138.0476,2011,SA
red_kangaroo,Red Kangaroo,-28.0,145.6,2021,QLD
red_kangaroo,Red Kangaroo,-31.0833,141.7333,1968,NSW
red_kangaroo,Red Kangaroo,-23.7092,133.8352,2019,NT
red_kangaroo,Red Kangaroo,-34.1277,142.5463,2018,NSW
red_kangaroo,Red Kangaroo,-32.0286,140.1138,2023,SA
red_kangaroo,Red Kangaroo,-34.1978,142.5812,2018,NSW
red_kangaroo,Red Kangaroo,-33.25,139.6724,2014,SA
red_kangaroo,Red Kangaroo,-31.8801,136.84,1980,SA
red_kangaroo,Red Kangaroo,-30.2501,134.34,1999,SA
red_kangaroo,Red Kangaroo,-30.1301,135.12,2007,SA
red_kangaroo,Red Kangaroo,-33.8801,139.03,1999,SA
red_kangaroo,Red Kangaroo,-30.5007,145.7239,2008,NSW
red_kangaroo,Red Kangaroo,-31.9704,140.0729,2020,SA
red_kangaroo,Red Kangaroo,-31.989,140.0729,2021,SA
red_kangaroo,Red Kangaroo,-31.125,135.0833,2011,SA
red_kangaroo,Red Kangaroo,-32.0242,140.4221,2023,SA
red_kangaroo,Red Kangaroo,-21.9254,114.1225,2017,WA
red_kangaroo,Red Kangaroo,-31.9149,140.1123,2022,SA
red_kangaroo,Red Kangaroo,-32.0442,140.1515,2023,SA
red_kangaroo,Red Kangaroo,-34.1872,142.5724,2022,NSW
red_kangaroo,Red Kangaroo,-23.5167,133.2667,1962,NT
red_kangaroo,Red Kangaroo,-27.5001,135.01,2006,SA
red_kangaroo,Red Kangaroo,-32.0347,139.9497,2022,SA
red_kangaroo,Red Kangaroo,-29.875,135.448,2012,SA
red_kangaroo,Red Kangaroo,-31.8295,140.5804,2022,SA
red_kangaroo,Red Kangaroo,-29.6301,137.25,1987,SA
red_kangaroo,Red Kangaroo,-31.1301,140.7,1980,SA
red_kangaroo,Red Kangaroo,-29.0795,141.2316,2024,NSW
red_kangaroo,Red Kangaroo,-30.875,136.6865,2015,SA
red_kangaroo,Red Kangaroo,-30.6398,145.7687,2023,NSW
red_kangaroo,Red Kangaroo,-34.3268,144.5493,2019,NSW
red_kangaroo,Red Kangaroo,-30.8801,135.9,1985,SA
red_kangaroo,Red Kangaroo,-33.393,142.4932,2013,NSW
red_kangaroo,Red Kangaroo,-32.3801,138.77,1983,SA
red_kangaroo,Red Kangaroo,-30.199,133.501,2015,SA
red_kangaroo,Red Kangaroo,-19.4013,137.6933,1999,NT
red_kangaroo,Red Kangaroo,-31.5259,142.5774,2000,NSW
red_kangaroo,Red Kangaroo,-31.1301,139.63,1988,SA
red_kangaroo,Red Kangaroo,-30.3801,136.5,2004,SA
red_kangaroo,Red Kangaroo,-30.3801,137.88,1985,SA
red_kangaroo,Red Kangaroo,-31.3206,138.708,2017,SA
red_kangaroo,Red Kangaroo,-32.1301,139.89,1995,SA
red_kangaroo,Red Kangaroo,-31.375,136.5333,2012,SA
red_kangaroo,Red Kangaroo,-31.4184,138.6994,2020,SA
red_kangaroo,Red Kangaroo,-32.0242,140.4221,2023,SA
red_kangaroo,Red Kangaroo,-31.5175,138.7983,2023,SA
red_kangaroo,Red Kangaroo,-32.875,140.5713,2015,SA
red_kangaroo,Red Kangaroo,-34.2771,142.7864,2016,NSW
red_kangaroo,Red Kangaroo,-29.8801,137.75,2004,SA
red_kangaroo,Red Kangaroo,-34.2609,142.7297,2022,NSW
red_kangaroo,Red Kangaroo,-31.8801,135.28,1987,SA
red_kangaroo,Red Kangaroo,-32.2549,141.4095,2022,NSW
red_kangaroo,Red Kangaroo,-31.9778,139.8942,2022,SA
red_kangaroo,Red Kangaroo,-31.989,140.0729,2021,SA
red_kangaroo,Red Kangaroo,-31.125,138.15,2012,SA
red_kangaroo,Red Kangaroo,-32.0347,139.9497,2022,SA
red_kangaroo,Red Kangaroo,-33.1301,140.56,2007,SA
red_kangaroo,Red Kangaroo,-31.8801,139.53,1992,SA
red_kangaroo,Red Kangaroo,-32.1301,138.58,1993,SA
red_kangaroo,Red Kangaroo,-22.0289,113.9231,2018,WA
red_kangaroo,Red Kangaroo,-27.0301,133.72,1997,SA
red_kangaroo,Red Kangaroo,-31.6301,139.22,1998,SA
red_kangaroo,Red Kangaroo,-29.6301,133.96,1989,SA
red_kangaroo,Red Kangaroo,-31.9149,140.1123,2020,SA
red_kangaroo,Red Kangaroo,-32.125,140.6827,2013,SA
red_kangaroo,Red Kangaroo,-31.1301,137.04,1981,SA
red_kangaroo,Red Kangaroo,-17.8015,136.0383,1999,NT
red_kangaroo,Red Kangaroo,-31.1301,138.47,2006,SA
red_kangaroo,Red Kangaroo,-29.3858,142.0927,2009,NSW
red_kangaroo,Red Kangaroo,-30.1301,139.97,2003,SA
red_kangaroo,Red Kangaroo,-21.9007,137.8402,1999,NT
red_kangaroo,Red Kangaroo,-30.5715,139.0359,2023,SA
red_kangaroo,Red Kangaroo,-34.1741,142.4614,2022,NSW
red_kangaroo,Red Kangaroo,-31.0709,138.626,2020,SA
red_kangaroo,Red Kangaroo,-31.989,140.0729,2020,SA
red_kangaroo,Red Kangaroo,-34.1746,142.5422,2018,NSW
red_kangaroo,Red Kangaroo,-31.3147,138.8115,2015,SA
red_kangaroo,Red Kangaroo,-31.363,138.5773,2019,SA
red_kangaroo,Red Kangaroo,-33.3992,142.2502,2017,NSW
red_kangaroo,Red Kangaroo,-19.1947,137.5517,1999,NT
red_kangaroo,Red Kangaroo,-30.3801,136.11,1998,SA
red_kangaroo,Red Kangaroo,-32.3801,137.43,2007,SA
red_kangaroo,Red Kangaroo,-31.25,141.0,2012,SA
red_kangaroo,Red Kangaroo,-31.9065,140.0817,2023,SA
red_kangaroo,Red Kangaroo,-30.1301,136.62,1984,SA
red_kangaroo,Red Kangaroo,-30.1301,134.02,1994,SA
red_kangaroo,Red Kangaroo,-34.257,142.7201,2016,NSW
red_kangaroo,Red Kangaroo,-34.1978,142.5812,2018,NSW
red_kangaroo,Red Kangaroo,-31.9582,140.2485,2023,SA
red_kangaroo,Red Kangaroo,-31.8913,140.107,2023,SA
red_kangaroo,Red Kangaroo,-27.0301,134.38,2003,SA
red_kangaroo,Red Kangaroo,-34.2666,142.7433,2017,NSW
red_kangaroo,Red Kangaroo,-30.8801,136.12,1996,SA
red_kangaroo,Red Kangaroo,-30.9667,115.6667,1989,WA
red_kangaroo,Red Kangaroo,-31.8801,140.91,1992,SA
red_kangaroo,Red Kangaroo,-32.1301,140.97,1994,SA
red_kangaroo,Red Kangaroo,-30.375,136.4084,2012,SA
red_kangaroo,Red Kangaroo,-32.0138,140.2079,2023,SA
red_kangaroo,Red Kangaroo,-32.1301,140.35,2003,SA
red_kangaroo,Red Kangaroo,-30.1301,139.97,1983,SA
red_kangaroo,Red Kangaroo,-32.3801,136.63,1981,SA
red_kangaroo,Red Kangaroo,-29.6188,117.2469,2024,WA
red_kangaroo,Red Kangaroo,-31.698,143.6344,2023,NSW
red_kangaroo,Red Kangaroo,-23.5167,133.2667,,NT
red_kangaroo,Red Kangaroo,-30.3801,134.81,2000,SA
red_kangaroo,Red Kangaroo,-31.7682,128.2893,1984,WA
red_kangaroo,Red Kangaroo,-33.3801,139.2,2004,SA
red_kangaroo,Red Kangaroo,-34.175,142.4774,2017,NSW
red_kangaroo,Red Kangaroo,-30.1301,138.74,1982,SA
